@relation analcatdata-draft

@attribute Actual.date numeric
@attribute Lottery.pick.1970 numeric
@attribute Lottery.pick.1971 numeric
@attribute Month {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute Month.ordered.picks.1970 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute binaryClass {P,N}

@data
1,305,133,1,9,N
2,159,195,1,4,N
3,251,336,1,12,N
4,215,99,1,2,N
5,101,33,1,10,N
6,224,285,1,9,N
7,306,159,1,10,N
8,199,116,1,9,N
9,194,53,1,11,N
10,325,101,1,12,N
11,329,144,1,8,N
12,221,152,1,12,N
13,318,330,1,7,N
14,238,71,1,4,N
15,17,75,1,7,N
16,121,136,1,12,N
17,235,54,1,1,N
18,140,185,1,9,N
19,58,188,1,11,N
20,280,211,1,6,N
21,186,129,1,8,N
22,337,132,1,6,N
23,118,48,1,7,N
24,59,177,1,10,N
25,52,57,1,2,N
26,92,140,1,12,N
27,355,173,1,7,N
28,77,346,1,6,N
29,349,277,1,3,N
30,164,112,1,3,N
31,211,60,1,5,N
32,86,335,2,4,N
33,144,354,2,3,P
34,297,186,2,11,N
35,210,94,2,5,N
36,214,97,2,8,N
37,347,16,2,5,N
38,91,25,2,10,N
39,181,127,2,12,N
40,338,187,2,5,N
41,216,46,2,12,N
42,150,227,2,7,N
43,68,262,2,12,N
44,152,13,2,8,N
45,4,260,2,8,N
46,89,201,2,11,N
47,212,334,2,11,N
48,189,345,2,8,P
49,292,337,2,9,N
50,25,331,2,7,N
51,302,20,2,11,N
52,363,213,2,1,N
53,290,271,2,12,P
54,57,351,2,8,P
55,236,226,2,5,N
56,179,325,2,12,N
57,365,86,2,2,P
58,205,66,2,1,N
59,299,234,2,1,N
60,285,?,2,6,P
61,108,14,3,8,N
62,29,77,3,4,N
63,267,207,3,9,N
64,275,117,3,6,N
65,293,299,3,5,N
66,139,296,3,11,N
67,122,141,3,7,N
68,213,79,3,2,N
69,317,278,3,6,N
70,323,150,3,12,N
71,136,317,3,9,P
72,300,24,3,10,N
73,259,241,3,6,N
74,354,12,3,4,N
75,169,157,3,5,P
76,166,258,3,11,N
77,33,220,3,1,N
78,332,319,3,12,N
79,200,189,3,10,N
80,239,170,3,11,N
81,334,246,3,4,N
82,265,269,3,9,N
83,256,281,3,4,N
84,258,203,3,12,N
85,343,298,3,6,N
86,170,121,3,2,N
87,268,254,3,10,N
88,223,95,3,7,N
89,362,147,3,2,N
90,217,56,3,4,N
91,30,38,3,2,N
92,32,224,4,1,N
93,271,216,4,7,N
94,83,297,4,10,N
95,81,37,4,12,N
96,269,124,4,12,N
97,253,312,4,11,N
98,147,142,4,7,N
99,312,267,4,11,P
100,219,223,4,12,N
101,218,165,4,1,P
102,14,178,4,8,N
103,346,89,4,5,N
104,124,143,4,6,N
105,231,202,4,12,N
106,273,182,4,8,N
107,148,31,4,11,N
108,260,264,4,3,N
109,90,138,4,6,N
110,336,62,4,6,N
111,345,118,4,8,N
112,62,8,4,5,P
113,316,256,4,9,N
114,252,292,4,8,N
115,2,244,4,7,N
116,351,328,4,8,P
117,340,137,4,10,N
118,74,235,4,1,N
119,262,82,4,9,N
120,191,111,4,7,N
121,208,358,4,1,N
122,330,179,5,3,N
123,298,96,5,12,N
124,40,171,5,4,N
125,276,240,5,10,N
126,364,301,5,11,N
127,155,268,5,11,N
128,35,29,5,12,N
129,321,105,5,12,P
130,197,357,5,5,N
131,65,146,5,11,N
132,37,293,5,11,P
133,133,210,5,5,P
134,295,353,5,6,N
135,178,40,5,12,N
136,130,344,5,3,P
137,55,175,5,6,N
138,112,212,5,10,N
139,278,180,5,3,N
140,75,155,5,1,P
141,183,242,5,8,N
142,250,225,5,8,N
143,326,199,5,11,N
144,319,222,5,2,P
145,31,22,5,8,N
146,361,26,5,11,N
147,357,148,5,4,N
148,296,122,5,4,N
149,308,9,5,9,N
150,226,61,5,2,N
151,103,209,5,9,N
152,313,350,5,2,P
153,249,65,6,7,N
154,228,304,6,8,N
155,301,135,6,5,N
156,20,42,6,11,N
157,28,233,6,12,N
158,110,153,6,9,N
159,85,169,6,1,P
160,366,7,6,9,N
161,335,352,6,9,N
162,206,76,6,12,N
163,134,355,6,12,N
164,272,51,6,1,N
165,69,342,6,12,N
166,356,363,6,3,N
167,180,276,6,8,N
168,274,229,6,8,N
169,73,289,6,3,N
170,341,214,6,3,N
171,104,163,6,10,N
172,360,43,6,7,N
173,60,113,6,12,P
174,247,307,6,11,N
175,109,44,6,9,N
176,358,236,6,10,N
177,137,327,6,9,P
178,22,308,6,5,N
179,64,55,6,2,N
180,222,215,6,6,N
