@relation analcatdata-braziltourism

@attribute Age numeric
@attribute Sex {0,1,4}
@attribute Income numeric
@attribute Travel_cost numeric
@attribute Access_road {0,1}
@attribute Active {0,1,2,3,4,5,6}
@attribute Passive {0,1,2,3,4}
@attribute Logged_income numeric
@attribute binaryClass {P,N}

@data
35,0,250,48.0003,1,1,0,5.521461,P
25,1,218.75,52.2,0,2,2,5.38793,P
37,0,1875,163.5,0,0,0,7.536364,P
29,1,781.25,87,0,0,0,6.660895,P
54,0,562.5,21,0,0,0,6.332391,P
34,0,218.75,60,1,0,1,5.38793,P
40,0,468.75,56.4,1,0,0,6.15007,P
32,1,2187.5,48.0003,0,1,1,7.690515,P
62,1,781.25,56.4,0,2,2,6.660895,P
36,1,937.5,48.0003,0,2,1,6.843217,P
62,0,?,48,0,1,1,?,P
52,0,625,48,0,1,1,6.437752,P
42,1,1250,82.2,0,3,4,7.130899,P
62,0,198.019802,48.0003,0,0,0,5.288367,P
41,0,1485.148515,303.6,0,0,0,7.30327,P
54,0,1237.623762,48.0003,1,0,0,7.120948,P
19,1,2351.485149,170.4,0,0,0,7.762802,P
42,1,198.019802,48.0003,1,0,0,5.288367,P
28,1,222.772277,60,0,0,0,5.40615,P
47,0,990.09901,48.0003,0,0,1,6.897805,P
30,1,742.574257,48.0003,0,0,1,6.610123,P
58,0,148.514852,52.2,0,0,0,5.000685,P
37,0,742.574257,48.0003,0,0,1,6.610123,P
38,0,1237.623762,112.5,0,0,0,7.120948,P
42,0,7.425743,48.0003,0,0,1,2.004953,P
62,1,247.524753,48.0003,0,0,0,5.511511,P
28,0,371.287129,48.0003,0,0,0,5.916976,P
18,0,742.574257,48.0003,0,1,1,6.610123,P
39,1,1435.643564,197.4,0,2,2,7.269369,P
39,1,1237.623762,48.0003,1,1,1,7.120948,P
22,1,396.039604,48.0003,1,0,0,5.981514,P
35,0,990.09901,48.0003,1,1,1,6.897805,P
45,0,990.09901,48.0003,0,0,0,6.897805,P
30,0,990.09901,48.0003,0,0,0,6.897805,P
39,0,371.287129,48.0003,0,2,2,5.916976,P
40,0,?,52.2,0,0,0,?,P
35,1,?,48.0003,1,0,0,?,P
15,1,247.524753,48.0003,0,1,2,5.511511,P
20,1,495.049505,48.0003,1,0,0,6.204658,P
34,1,742.574257,48.0003,1,0,0,6.610123,P
26,1,742.574257,48.0003,0,0,0,6.610123,P
18,1,1237.623762,48.0003,0,0,0,7.120948,P
32,1,990.09901,48.0003,0,0,0,6.897805,P
28,0,618.811881,60,0,0,0,6.427801,P
25,1,1113.861386,45,0,0,0,7.015588,P
54,1,1406.25,48.0003,0,1,1,7.248682,P
47,1,2000,161.7,0,0,0,7.600902,P
42,1,?,48.0003,0,0,1,?,P
16,0,?,161.7,0,1,1,?,P
21,1,?,170.4,0,1,2,?,P
45,1,?,48.0003,0,2,2,?,P
23,0,937.5,87,0,1,2,6.843217,P
47,1,875,48.0003,1,0,0,6.774224,P
29,0,1562.5,161.7,1,0,0,7.354042,P
54,1,937.5,161.7,1,0,0,6.843217,P
19,0,?,303.6,1,0,0,?,P
29,0,781.25,48.0003,0,2,2,6.660895,P
36,1,1250,48.0003,0,2,3,7.130899,P
40,0,625,203.7,0,2,1,6.437752,P
50,1,1250,303.6,1,1,0,7.130899,P
33,1,1000,535.5,0,0,3,6.907755,P
19,1,168.75,48.0003,0,1,1,5.128418,P
20,0,250,48.0003,0,3,1,5.521461,P
28,1,2500,45,1,3,3,7.824046,P
17,1,?,216.3,0,2,1,?,P
24,1,?,48.0003,0,0,1,?,P
27,1,600,170.4,0,3,3,6.39693,P
36,0,1406.25,176.4,0,1,3,7.248682,P
53,0,187.5,48.0003,0,0,2,5.233779,P
22,1,109.375,48.0003,1,1,2,4.694782,P
34,1,937.5,190.8,0,0,2,6.843217,P
41,0,2187.5,186.9,0,0,3,7.690515,P
41,1,406.25,48.0003,0,1,3,6.006969,P
42,0,2031.25,48.0003,0,2,1,7.616407,P
24,1,1562.5,161.7,0,2,3,7.354042,P
32,1,781.25,48.0003,0,0,0,6.660895,P
63,0,?,48,0,0,1,?,P
46,1,?,48,0,0,1,?,P
31,1,?,520.2,0,3,3,?,P
43,1,?,303.6,0,2,2,?,P
62,1,250,176.4,0,1,2,5.521461,P
39,1,1875,190.8,0,2,2,7.536364,P
38,0,2812.5,161.7,0,1,0,7.941829,P
28,0,781.25,190.8,0,0,0,6.660895,P
22,0,375,403.8,0,0,0,5.926926,P
36,1,1250,170.4,0,0,0,7.130899,P
45,0,1875,48.0003,0,1,1,7.536364,P
32,0,937.5,48.0003,0,0,0,6.843217,P
47,0,937.5,158.4,0,2,2,6.843217,P
37,1,1250,186.9,1,3,2,7.130899,P
52,0,1875,48.0003,0,2,2,7.536364,P
34,1,118.75,48,0,?,1,4.77702,P
45,0,1562.5,170.4,0,0,0,7.354042,P
32,1,937.5,48.0003,0,2,1,6.843217,P
29,0,1562.5,170.4,0,0,0,7.354042,P
35,1,625,48.0003,0,0,0,6.437752,P
20,1,156.25,161.7,0,1,1,5.051457,P
51,0,1031.25,161.7,1,2,3,6.938527,P
31,1,875,196.2,0,2,2,6.774224,P
44,0,1281.25,170.4,0,0,0,7.155591,P
42,1,937.5,138,0,0,0,6.843217,P
28,0,937.5,118.5,1,2,1,6.843217,P
32,0,625,180.9,0,0,0,6.437752,P
33,1,1875,288,0,0,0,7.536364,P
57,0,1718.75,988.5,0,0,0,7.449353,P
19,0,625,82.2,0,2,2,6.437752,P
48,0,937.5,161.7,0,2,1,6.843217,P
35,1,625,197.4,1,1,1,6.437752,P
27,1,875,170.4,1,0,0,6.774224,P
65,0,1250,208.5,0,1,1,7.130899,P
45,0,1718.75,48.0003,0,2,0,7.449353,P
45,0,343.75,48,0,1,1,5.839915,P
32,0,406.25,48,1,1,1,6.006969,P
38,0,?,239.1,1,0,1,?,P
28,0,656.25,170.4,0,0,0,6.486542,P
30,1,625,48.0003,0,2,1,6.437752,P
28,0,562.5,160.2,1,0,0,6.332391,P
23,0,2125,239.1,0,0,0,7.661527,P
36,0,937.5,176.4,0,2,1,6.843217,P
50,0,1093.75,170.4,0,0,0,6.997367,P
28,0,?,?,0,0,0,?,P
40,0,1250,161.7,0,1,2,7.130899,P
33,0,468.75,48.0003,0,1,1,6.15007,P
42,1,937.5,48,0,1,2,6.843217,P
27,1,102.5,160.2,0,0,0,4.629863,P
64,0,1875,48.0003,0,1,2,7.536364,P
38,0,2500,48.0003,0,3,0,7.824046,P
49,0,937.5,170.4,0,0,0,6.843217,P
31,0,781.25,170.4,0,1,1,6.660895,P
37,0,937.5,1005.9,0,0,0,6.843217,P
29,0,1562.5,348.9,0,0,0,7.354042,P
52,0,1093.75,261.3,0,0,0,6.997367,P
66,1,937.5,48.0003,1,0,0,6.843217,P
35,0,578.125,21,0,0,0,6.35979,P
23,0,125,457.8,1,1,2,4.828314,P
45,0,312.5,197.4,0,1,0,5.744604,P
25,1,375,170.4,0,0,0,5.926926,P
55,1,1250,48.0003,1,2,2,7.130899,P
44,1,?,288,0,0,0,?,P
30,1,625,48.0003,0,0,0,6.437752,P
33,1,1250,176.4,0,0,0,7.130899,P
49,1,2187.5,48.0003,0,0,0,7.690515,P
52,0,1172.5,48.0003,0,0,0,7.066894,P
20,1,2000,535.5,0,1,1,7.600902,P
23,0,1000,595.2,0,0,0,6.907755,P
35,1,625,48.0003,1,0,0,6.437752,P
57,1,781.25,48.0003,1,0,2,6.660895,P
20,0,25,48,0,0,0,3.218876,P
30,0,1758.75,48.0003,1,0,0,7.472359,P
30,0,250,48,0,0,1,5.521461,P
42,1,937.5,48.0003,0,0,1,6.843217,P
36,0,2000,288,0,0,0,7.600902,P
22,0,2500,48.0003,0,2,1,7.824046,P
34,0,?,48.0003,0,0,1,?,P
40,0,2187.5,349.2,0,0,0,7.690515,P
25,0,625,261.3,0,0,0,6.437752,P
47,1,562.5,177.9,0,2,1,6.332391,P
35,1,468.5,48.0003,0,2,2,6.149536,P
29,0,468.5,48.0003,0,0,0,6.149536,P
39,0,375,48,0,0,0,5.926926,P
23,0,625,48,0,0,0,6.437752,P
24,0,1000,535.5,0,0,0,6.907755,P
39,0,781.25,52.2,0,0,0,6.660895,P
45,0,1562.5,161.7,0,1,1,7.354042,P
30,1,625,176.4,0,0,0,6.437752,P
45,1,1250,48.0003,0,0,0,7.130899,P
20,1,937.5,48,0,0,0,6.843217,P
18,1,?,48,0,2,1,?,P
39,1,1093.75,48.0003,0,0,0,6.997367,P
45,0,1250,118.5,1,0,0,7.130899,P
42,1,6250,48.0003,0,0,0,8.740337,P
40,0,2187,161.7,0,1,1,7.690286,P
32,1,1562.5,197.4,1,0,0,7.354042,P
21,0,2031.25,48.0003,0,0,0,7.616407,P
28,0,937.5,170.4,0,0,0,6.843217,P
24,1,2500,48,0,0,0,7.824046,P
26,0,1250,48.0003,0,0,0,7.130899,P
53,0,625,161.7,0,0,0,6.437752,P
30,1,1562.5,170.4,0,0,0,7.354042,P
25,1,375,48.0003,0,2,2,5.926926,P
25,1,1093.75,48.0003,0,3,1,6.997367,P
29,1,937.5,190.8,0,1,1,6.843217,P
56,0,625,48,1,0,0,6.437752,P
17,0,?,48,0,1,1,?,P
16,0,?,29.4,0,2,1,?,P
53,0,625,170.4,0,0,1,6.437752,P
30,0,1172.5,457.8,0,1,1,7.066894,P
27,0,1562.5,48.0003,0,1,1,7.354042,P
47,1,117.25,48,1,0,0,4.764308,P
33,0,625,457.8,0,0,0,6.437752,P
25,0,293.13,118.5,0,1,1,5.680616,P
24,0,1000,?,0,0,0,6.907755,P
23,1,234.5,29.4,0,1,1,5.457456,P
30,1,781.25,48.0003,0,0,0,6.660895,P
26,0,117.25,48,0,0,0,4.764308,P
46,1,1250,87,0,0,0,7.130899,P
50,0,1562.5,203.7,0,0,0,7.354042,P
45,1,1187.5,48,0,0,0,7.079606,P
34,1,1250,288,0,0,0,7.130899,P
36,0,2187.5,48,0,0,0,7.690515,P
47,0,2656.25,197.4,1,1,2,7.884671,P
52,1,1031.25,48.0003,1,2,2,6.938527,P
59,0,671.88,48.0003,0,2,1,6.51008,P
49,1,468.75,52.2,1,0,0,6.15007,P
23,1,593.75,48.0003,0,2,1,6.386458,P
58,0,562.5,48.0003,1,2,2,6.332391,P
47,0,1250,457.8,0,0,0,7.130899,P
41,1,1093.75,48,1,3,1,6.997367,P
28,0,718.75,48,0,0,0,6.577514,P
36,0,781.25,196.2,0,3,0,6.660895,P
26,1,937.5,48.0003,0,2,2,6.843217,P
59,0,468.75,170.4,0,0,0,6.15007,P
32,1,106.25,161.7,0,0,0,4.665795,P
28,1,1312.5,48.0003,0,3,1,7.179689,P
25,1,1562.5,48,0,0,0,7.354042,P
52,1,625,163.5,0,0,2,6.437752,P
43,1,625,176.4,0,0,0,6.437752,P
42,0,1250,48,0,2,2,7.130899,P
35,0,879.38,48,1,0,0,6.779217,P
44,?,656.25,48,0,1,0,6.486542,P
21,0,937.5,48.0003,0,1,0,6.843217,P
21,0,125,48.0003,0,0,0,4.828314,P
19,0,1562.5,48.0003,1,1,0,7.354042,P
42,1,1875,48.0003,0,0,1,7.536364,P
40,0,2187.5,48.0003,0,1,1,7.690515,P
53,0,343.75,52.2,0,1,1,5.839915,P
18,0,1875,48.0003,0,2,1,7.536364,P
23,1,1718.75,48.0003,0,0,0,7.449353,P
21,1,1250,161.7,0,0,0,7.130899,P
35,0,468.75,48.0003,0,0,1,6.15007,P
27,0,2812.5,48.0003,0,1,1,7.941829,P
47,1,?,457.8,0,0,0,?,P
67,1,?,48.0003,0,1,1,?,P
17,1,1875,48.0003,0,2,1,7.536364,P
27,0,2187.5,170.4,0,0,0,7.690515,P
46,1,1000,170.4,0,0,0,6.907755,P
22,0,187.5,48.0003,0,1,?,5.233779,P
48,0,1250,48.0003,0,1,1,7.130899,P
25,0,156.25,48,1,0,0,5.051457,P
22,0,2000,535.5,0,0,0,7.600902,P
27,1,1406.25,48,1,1,2,7.248682,P
38,1,117.25,48.0003,0,0,0,4.764308,P
16,1,469,48.0003,0,0,0,6.150603,P
44,1,781.25,403.8,0,0,0,6.660895,P
43,1,?,48,0,0,0,?,P
