@relation confidence-weka.filters.unsupervised.attribute.Copy-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute P numeric
@attribute N numeric
@attribute O numeric
@attribute binaryClass {P,N}

@data
668.9,2100.4,641.2,P
984.3,1920.2,502.6,N
433.2,2329.1,658.5,N
132.6,219.3,147.9,N
290.7,168.3,45.9,N
91.8,142.8,270.3,N
692.9,2110.1,647.7,P
1051.6,1869.8,511.9,N
497.9,2329.5,626.8,N
125.2,210.4,150.3,N
280.6,150.3,60.1,N
85.2,135.3,280.6,N
563.4,2206.4,836.1,P
952.4,2039.2,617.9,N
428.9,2537.2,643.4,N
96.3,228.1,172.4,N
218,212.9,71,N
86.2,147,268.7,N
394.5,2181.9,879.7,P
733.1,2073.6,642.3,N
422.4,2398.3,638.9,N
90.2,230.5,165.3,N
210.4,200.4,80.2,N
70.1,120.2,305.6,N
339,2256.3,896.9,P
663.8,2182.2,646.2,N
349.6,2567,589.7,N
80,220,190,N
180,225,90,N
80,125,285,N
329.2,2283.7,792.1,P
678.9,2119.1,603.5,N
370.3,2338.6,692.7,N
80,265,140,N
185,240,70,N
65,130,295,N
418.2,2167.4,580.9,P
740.5,2017.3,395.8,N
383,2183.3,587.3,N
81.1,263.6,147,N
228.1,202.8,65.9,N
76.1,147,273.8,N
494.4,2333.5,601.5,P
847,2126.1,446,N
421.8,2371.5,632.6,N
80.2,250.5,150.3,N
190.4,230.5,75.1,N
70.1,145.3,280.6,N
539.2,2220.8,576.3,P
845.9,2055.7,431.4,N
401,2338.8,596.5,N
95.9,257.6,131.3,N
212.1,217.1,75.8,N
85.9,121.2,297.9,N
467.5,2167.1,492.8,P
739.2,1983.9,401.2,N
388.6,2211.3,527.6,N
80,240,150,N
205,205,80,N
70,130,290,N
426.9,2102.1,703.9,P
638.8,2040.1,544.3,N
400.9,2219.4,612.7,N
75.6,252,156.2,N
141.1,262.1,95.8,N
55.4,126,312.5,N
333.6,1915.7,899.1,P
565.5,1884,692.6,N
339.9,2128.6,689.4,N
55.4,191.5,236.9,N
131,231.8,136.1,N
50.4,126,322.6,N
