@relation sleuth-ex1605

@attribute FMED numeric
@attribute TMIQ numeric
@attribute Age2IQ numeric
@attribute Age4IQ numeric
@attribute Age8IQ numeric
@attribute binaryClass {P,N}

@data
10,100,120,115,109,P
10,71,131,109,113,P
14,89,126,115,113,P
7,73,120,102,111,N
14,64,126,125,114,P
8,64,125,109,96,P
13,104,105,107,106,P
16,76,130,112,124,N
10,81,107,120,109,N
8,78,104,108,125,N
14,79,120,117,114,N
12,128,120,128,148,N
9,65,114,102,112,N
12,71,122,100,128,N
17,75,119,101,102,P
13,109,102,107,113,N
14,88,133,121,115,P
14,90,95,89,115,P
15,96,82,106,105,P
9,95,136,115,118,P
15,80,104,107,107,P
13,102,119,103,101,P
6,92,116,121,119,N
12,88,90,94,95,P
12,100,104,114,104,P
14,91,99,102,128,N
14,70,135,112,118,N
15,84,125,108,116,P
13,78,102,90,99,P
13,78,108,90,86,P
16,87,113,97,101,N
15,63,127,121,119,P
10,67,116,113,113,P
15,83,101,93,99,P
16,109,99,126,139,N
13,54,117,114,119,P
9,66,105,109,90,P
13,109,112,113,125,N
12,88,114,138,124,N
8,95,140,130,126,N
13,92,120,113,114,N
15,65,110,111,114,P
8,63,110,113,107,P
19,113,128,112,114,N
4,110,116,92,105,P
10,105,125,111,129,N
16,96,128,139,118,N
12,78,138,125,139,N
14,67,109,92,87,P
16,80,109,112,127,N
12,53,81,87,80,P
13,74,121,132,132,N
12,91,120,105,131,N
12,98,142,135,147,N
13,109,128,145,125,N
14,92,115,113,113,N
11,91,105,130,115,N
11,88,112,107,110,P
13,99,117,112,109,P
10,90,122,127,129,N
15,104,108,124,116,N
8,88,122,112,119,P
