@relation visualizing-ethanol

@attribute NOx numeric
@attribute C numeric
@attribute binaryClass {P,N}

@data
3.741,12,P
2.295,12,P
1.498,12,N
2.881,12,N
0.76,12,N
3.12,9,N
0.638,9,N
1.17,9,N
2.358,12,N
0.606,12,N
3.669,12,N
1,12,N
0.981,15,N
1.192,18,P
0.926,7.5,P
1.59,12,P
1.806,12,N
1.962,15,N
4.028,15,N
3.148,9,P
1.836,9,N
2.845,7.5,N
1.013,7.5,N
0.414,18,N
0.812,18,N
0.374,15,P
3.623,15,N
1.869,7.5,P
2.836,7.5,N
3.567,9,P
0.866,15,N
1.369,15,P
0.542,15,N
2.739,15,N
1.2,15,N
1.719,9,N
3.423,9,P
1.634,7.5,P
1.021,7.5,N
2.157,7.5,N
3.361,18,P
1.39,18,N
1.947,18,N
0.962,18,N
0.571,9,P
2.219,9,P
1.419,9,P
3.519,9,P
1.732,7.5,P
3.206,7.5,P
2.471,7.5,P
1.777,15,P
2.571,18,N
3.952,18,N
3.931,15,P
1.587,15,P
1.397,7.5,P
3.536,7.5,P
2.202,7.5,P
0.756,7.5,N
1.62,7.5,P
3.656,7.5,P
2.964,7.5,N
3.76,18,P
0.672,18,N
3.677,18,P
3.517,12,P
3.29,12,N
1.139,9,P
0.727,9,N
2.581,9,N
0.923,15,P
1.527,15,P
3.388,15,P
2.085,15,N
0.966,15,N
3.488,7.5,P
0.754,7.5,N
0.797,9,N
2.064,7.5,P
3.732,18,N
0.586,18,N
0.561,7.5,P
0.563,9,P
0.678,12,P
0.37,15,P
0.53,18,P
1.9,18,P
