@relation visualizing-slope

@attribute error numeric
@attribute percent numeric
@attribute distance numeric
@attribute binaryClass {P,N}

@data
18.90625,50,37.40523,P
16.33333,55,37.1523,P
19.4375,60,36.89979,P
17.44791,65,36.6478,P
17.03646,70,36.39627,P
14.59896,75,36.1453,P
11.63021,80,35.89493,P
9.13542,85,35.64516,P
7.58333,90,35.39608,P
6.041666,95,35.14767,P
5.45833,100,34.9,P
16.05728,50,30.07505,N
16.97396,55,29.5797,N
13.69792,60,29.08769,N
12.05729,65,28.59927,N
11.95833,70,28.11473,P
11.97396,75,27.63423,P
9.81771,80,27.15805,P
9.182291,85,26.68634,P
7.65625,90,26.21932,P
5.30729,95,25.75715,P
5.916666,100,25.29999,P
8.244791,50,17.43569,N
9.213541,55,16.53969,N
9.47917,60,15.66512,N
9.026041,65,14.81283,N
8.13542,70,13.9834,N
5.96875,75,13.17728,N
6.322916,80,12.39471,P
6.40625,85,11.6358,P
6.078125,90,10.9005,P
4.80208,95,10.18866,P
3.104167,100,9.5,P
5.78125,50,0.264824,N
6.34896,55,1.574486,N
7.99479,60,2.79645,N
7.97396,65,3.93522,N
6.57292,70,4.995754,N
6.479166,75,5.98323,N
6.90104,80,6.90282,N
7.11458,85,7.7596,P
6.63542,90,8.55839,P
5.77083,95,9.30376,P
3.36979,100,10,P
